v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,public_v150,public_v151,public_v152,lead_v150,lead_v151,leader,interested,categorizer,tolerance_group,tolerance_broader0,tolerance,tolerance_broader,us_region
7202,1,2,1,0,8,1,1,2,9,8,5,60,2,4,8,8,2,8,2,2,8,0,8,5,3,3,4,1,0,0,5,5,1,1,1,5,1,5,1,7,1,4,5,10,0,5,0,5,5,0,1,50,8,0,0,1,5,5,5,8,2,4,2,1,1,5,2,1,5,1,1,5,1,1,5,1,8,20,8,8,8,8,8,0,98,8,1,5,2,8,5,1,5,8,0,1,1,1,5,1,1,5,1,1,1,1,1,5,1,1,5,1,5,1,2,1,1,8,1,2,4,2,1,1,2,3,2,1,3,2,1,1,1,1,2,1,1,70,79,91,91,1,5,0,1,4,1,1,1,2,1,54,54,0,more,disagree,tolerance0,less tolerant,tolerance0,less tolerant,east
7202,2,2,1,2,8,1,1,2,9,8,0,70,4,4,8,8,8,8,8,1,1,3,5,8,1,0,4,1,0,0,1,1,1,1,5,8,1,5,1,2,3,4,5,33,9,5,0,5,5,0,1,30,5,0,0,1,5,5,5,1,9,3,1,4,1,3,1,1,1,1,2,1,1,2,1,1,2,98,8,8,8,8,2,1,98,8,1,1,2,2,8,8,1,1,2,5,5,1,1,1,5,1,5,5,5,5,5,1,5,5,5,5,5,5,8,0,2,1,1,1,1,3,1,2,2,1,8,3,3,1,1,2,9,3,1,1,1,0,96,79,91,1,5,0,1,2,2,1,5,1,2,54,54,0,less,agree,tolerance2,in between,tolerance5,more tolerant,midwest
7202,3,2,1,3,8,1,1,2,9,8,1,0,4,4,8,8,8,8,8,8,8,0,5,5,2,3,2,8,0,0,5,5,1,5,5,1,5,0,8,0,3,4,5,33,9,5,0,5,5,0,1,10,8,0,0,8,1,8,5,9,9,8,8,8,0,8,8,0,8,8,0,8,8,0,8,8,8,98,8,8,8,8,8,0,98,8,8,8,1,2,8,8,5,8,0,1,1,1,8,1,1,5,5,1,8,8,8,8,8,8,5,8,5,8,8,0,4,8,2,1,4,3,2,2,2,2,3,2,2,2,1,9,1,1,1,5,4,0,60,91,91,2,5,0,5,4,2,1,5,3,2,54,54,0,less,agree,tolerance1,less tolerant,tolerance1,less tolerant,midwest
7202,4,2,1,0,3,4,2,2,9,8,6,90,1,3,1,8,2,3,2,1,1,1,5,5,3,8,3,5,9,3,5,5,1,5,5,1,5,0,2,0,1,4,5,33,0,5,0,5,5,0,1,10,5,0,0,1,1,1,1,0,2,4,2,4,1,5,4,1,5,4,1,5,4,1,5,1,8,98,8,8,8,8,8,0,98,8,8,5,1,2,8,2,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,8,0,1,5,1,1,1,1,1,2,2,3,1,1,1,1,1,2,2,2,1,1,2,0,40,50,91,1,1,1,1,4,2,1,1,2,1,54,54,0,more,disagree,tolerance0,less tolerant,tolerance0,less tolerant,east
7202,5,2,1,0,1,1,3,2,9,8,1,10,4,4,3,3,2,3,2,1,5,4,5,5,1,0,4,1,0,0,5,5,1,5,5,1,5,0,8,0,8,0,5,33,9,5,0,8,5,0,1,10,5,0,0,1,5,5,5,5,4,3,1,8,0,3,2,2,5,1,4,1,1,3,1,8,3,98,8,8,8,8,8,0,98,8,8,1,1,2,8,2,5,5,0,1,1,1,5,1,1,5,8,1,5,5,1,5,1,1,5,1,5,5,8,0,2,1,3,3,3,3,2,2,3,2,2,2,2,1,5,0,0,1,2,1,3,0,96,40,91,1,1,4,5,2,2,1,5,1,1,54,54,0,less,agree,tolerance1,less tolerant,tolerance1,less tolerant,east
7202,6,2,1,1,1,1,1,2,9,8,1,30,4,4,2,4,2,3,2,2,5,4,5,5,1,0,1,1,0,0,1,5,1,5,5,1,5,0,2,0,3,9,5,11,1,5,0,5,1,0,1,99,5,0,0,1,1,1,5,9,6,2,2,1,2,5,3,1,5,1,1,5,1,1,5,8,1,10,8,1,2,8,1,9,98,1,1,5,1,1,8,2,1,1,2,1,1,1,1,1,5,5,5,1,5,5,5,1,5,5,5,5,5,5,2,8,8,2,1,5,1,2,1,2,3,3,2,2,1,7,1,2,1,1,1,1,2,0,96,50,91,1,1,9,1,2,2,1,5,1,1,54,54,0,more,disagree,tolerance2,in between,tolerance5,more tolerant,east
7202,7,2,1,2,3,1,9,2,1,8,1,10,3,1,2,2,8,4,8,1,5,4,8,5,2,8,4,5,5,2,5,5,8,5,8,5,5,0,8,0,1,3,5,31,4,5,0,5,5,0,1,98,5,0,0,1,1,5,5,9,9,3,8,1,2,8,1,3,8,1,1,1,1,2,8,1,1,50,8,8,8,8,2,1,98,5,5,0,1,1,8,8,5,8,0,1,1,1,5,1,1,1,1,1,1,5,5,5,5,1,1,1,8,1,1,2,0,8,4,1,1,3,1,2,3,3,3,1,2,1,5,0,9,3,1,5,3,0,80,70,91,2,5,0,5,1,1,1,5,4,2,54,54,0,less,disagree,tolerance1,less tolerant,tolerance1,less tolerant,midwest
7202,8,2,1,3,3,1,3,2,9,8,8,20,3,4,2,3,2,8,8,8,1,2,8,8,8,0,4,8,0,0,5,5,1,5,5,1,5,0,2,0,2,4,5,31,0,5,0,5,5,0,1,80,5,0,0,1,1,5,1,9,9,3,1,2,1,5,4,1,5,4,1,5,4,1,5,8,8,98,8,8,8,8,2,1,98,1,8,8,2,1,8,8,5,8,0,1,1,1,5,1,5,5,5,1,5,5,1,5,5,5,5,1,5,5,8,0,2,5,1,5,1,2,1,1,2,3,2,2,2,1,1,2,2,2,1,1,1,0,96,30,91,3,5,0,5,5,2,1,5,1,2,54,54,0,more,disagree,tolerance1,less tolerant,tolerance1,less tolerant,midwest
7202,9,2,1,1,3,1,1,2,9,8,7,20,3,4,2,3,2,4,2,3,5,4,5,5,2,8,2,1,0,0,5,5,1,5,5,1,1,1,8,0,3,2,5,33,4,5,0,5,5,0,1,20,5,0,0,1,5,5,8,1,4,4,2,1,1,5,2,1,5,2,1,5,2,1,5,1,2,30,3,5,8,5,1,9,0,5,5,0,1,1,8,2,1,5,0,5,5,1,5,1,1,5,5,5,5,5,8,1,5,5,5,8,5,1,3,1,7,1,2,1,1,1,1,2,2,2,2,2,3,1,5,0,0,2,1,5,3,0,40,91,91,1,1,1,5,2,1,1,5,2,4,54,54,0,more,agree,tolerance1,less tolerant,tolerance1,less tolerant,east
7202,10,2,1,1,1,1,2,2,9,8,1,10,1,4,3,3,2,3,2,1,1,2,1,5,1,0,3,1,0,0,5,5,1,5,5,1,5,0,2,0,2,3,5,11,3,5,0,5,5,0,1,10,9,0,0,1,5,5,5,5,6,2,1,1,1,5,2,1,1,1,2,1,1,2,1,1,1,30,8,1,1,0,1,9,98,5,5,0,1,1,8,2,5,1,3,1,1,1,5,1,1,5,1,1,1,1,1,5,1,5,5,1,5,1,1,2,0,1,3,2,3,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,10,50,91,91,1,2,0,1,4,1,1,5,3,2,54,54,0,more,agree,tolerance0,less tolerant,tolerance0,less tolerant,east
